Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
3.882192266614813647e+00,9.544198180499829931e+00,5.053248328132260714e-02,3.606272719408336602e+00,1.561889913521314899e+00,9.806611310494574019e-01,4.630485026459944642e+00
4.104948897694432830e+00,9.652696099392203521e+00,5.230150698835766415e-02,3.274716231250023757e+00,1.469235655873320834e+00,8.427373182403948837e-01,4.638124440067498355e+00
4.867966959350987111e+00,9.977049233620626012e+00,1.479917612302590960e-02,1.999801564634891893e+00,1.339445022114536199e+00,2.112509139094567029e-02,3.939006951817295210e+00
4.713144347442323578e+00,9.289290727074465792e+00,8.307001925309870013e-03,2.657031291159824171e+00,1.473486147709746952e+00,1.109077353910797870e-01,4.545564665723202502e+00
3.150985206876482092e+00,1.014107945578438930e+01,9.315252441912889869e-02,2.999040874072483653e+00,1.650396885871887154e+00,5.446553898176976355e-02,4.092752077920096099e+00
3.156743225390023611e+00,1.004441330206655181e+01,2.281544976969704930e-01,3.288346365420487860e+00,1.802334022347944487e+00,3.806249911006349684e-01,4.069957531281631624e+00
3.253674885583302423e+00,1.005219692149490207e+01,1.135032567535601000e-01,3.816737524416081051e+00,1.863478521821360090e+00,6.416868624824380030e-01,3.889457735435041918e+00
3.206127790180412607e+00,9.980267582712945895e+00,3.739656090446923792e-02,4.057767202725282019e+00,1.829212625284452720e+00,6.086325385179873759e-01,4.014835273897325862e+00
3.329654285667139391e+00,1.002956077593182194e+01,1.232582026485934679e-01,3.562727556316130695e+00,1.885732755748503742e+00,7.503214828464963571e-01,3.851594845089343799e+00
3.355545728023235696e+00,9.749750848916860946e+00,3.704356584841242417e-02,4.082526339017428008e+00,1.606504841034229081e+00,6.689211616149315365e-01,4.399861816259530656e+00
3.222792238519902597e+00,9.746974342747739328e+00,8.472406993244301077e-02,4.306495626767476104e+00,1.745926019392515460e+00,3.085122920834181492e+00,4.305784547538087814e+00
3.467208097798164079e+00,9.577717333332474325e+00,2.640372986507387790e-02,4.049753562945155316e+00,1.715334138400118169e+00,7.428665295103346056e-01,4.506847339057026502e+00
4.408472042591845330e+00,9.301579377690298855e+00,3.661512495705582931e-02,3.174859572629459503e+00,1.541569122525512148e+00,8.059787454663730477e-01,4.559302255755564914e+00
4.473843987684071877e+00,9.395230003025220711e+00,2.507633463658901635e-02,3.038977950256063210e+00,1.476467262143674075e+00,4.326497978120116827e-01,4.599395343235561207e+00
3.055445354009412195e+00,1.006330100777223002e+01,1.037454689593659274e-01,3.087812379463431789e+00,1.647394807068343070e+00,3.261849816082064424e-02,3.789175780778078817e+00
3.496667244774954497e+00,1.009315092904227207e+01,5.711098228182111269e-02,2.577630603654044172e+00,1.538007496425083609e+00,2.480406009459069916e-02,3.856670902797154188e+00
